Expediente|Numero|Inscripcion|Fojas|Tomo|Libro|Predio|Fecha|Lugar|Observaciones
58091|1|849257|193 a 272|103|APENDICE|259776 1|13/5/24 000000|TEHUACAN, PUEBLA|CANCELACION DE HIPOTECA
58022|1|1776236|||||2/5/24 000000|CHOLULA, PUEBLA|FOLIO 0063863 1
55357|3|3011235|1 a 73|1216|APENDICE|39989 1|13/10/22 000000|PUEBLA, PUEBLA|COMPRAVENTA
55357|2|3011227|1 a 73|1216|APENDICE|39989 1|13/10/22 000000|PUEBLA, PUEBLA|SUCESION INTESTAMENTARIA
55357|1|3011219|1 a 73|1216|APENDICE|39989 1|13/10/22 000000|PUEBLA, PUEBLA|NOMBRAMIENTO DE ALBACEA
58217|1|0|||||26/4/24 000000|TEPEACA, PUEBLA|FME N-2018023697, NCI 202400128918
57897|3|1743670|||||9/2/24 000000|CHOLULA, PUEBLA|FOLIO 0324239 1 SUCESION TESTAMENTARIA
57897|2|1743665|||||9/2/24 000000|CHOLULA, PUEBLA|FOLIO 0324239 1 PROTO DE INVENTARIOS 
57897|1|1743650|||||9/2/24 000000|CHOLULA, PUEBLA|FOLIO 0324239 1 NOMBRAMIENTO DE ALBACEA
58206|2|1783018|||||16/5/24 000000|CHOLULA, PUEBLA|FOLIO 0166378 1 DONACION
58206|1|1783005|||||16/5/24 000000|CHOLULA|FOLIO 0166378 1 ERECCION
58433|1|N-20240348|||||24/4/24 000000|PUEBLA, PUEBLA|NCI  202400121426
58520|1|1694|01 a 05|I||SEGUNDA|16/5/24 000000|XALAPA, VERACRUZ|
58392|1|NCI|202400072809|FME|N-|2024019818|19/3/24 000000|PUEBLA, PUEBLA|
58372|1|NCI|202400067324|FME|N-|2024018155|13/3/24 000000|PUEBLA, PUEBLA|
58560|1|NCI|202400065330|FME|N|2024017595|11/3/24 000000|PUEBLA, PUEBLA|
56107|1|1605849|20 a 37 |105|APENDICE|22190 1|27/1/23 000000|SAN ANDRES CHOLULA|
55815|1|1575814|278 a 283|1236|APENDICE|296818 1|14/11/21 000000|CUAUTLANCINGO, CHOLULA|
57230|2|2304700|375 a 409|359|AOENDICE|30868 1 |24/4/24 000000|PUEBLA, PUEBLA|HIPOTECA
57230|1|3204690|375 a 409|359|APENDICE|30868 1|24/4/24 000000|PUEBLA, PUEBLA|COMPRAVENTA
58527|1|NCI|202400067617|FME |34755||13/3/24 000000|PUEBLA|
58526|1|NCI|202400065946|FME N-|2019076267||12/3/24 000000|PUEBLA, PUEBLA|
58331|1|NCI|202400068239|FME|47734||13/3/24 000000|PUEBLA, PUEBLA|
58525|1|NCI|202400070921|FME N-|2019091160||15/3/24 000000|PUEBLA, PUEBLA|
58318|1|NCI|202400046167|FME|36536||21/2/24 000000|PUEBLA, PUEBLA|
58307|1|NCI|202400053481|FME N-|2019004202||28/2/24 000000|PUEBLA, PUEBLA|
58199|1|3207322|108 a 112|397|Apendice|229984 1|29/4/24 000000|PUEBLA, PUEBLA|
58295|1|NCI|202400057369|FME N-|2021097304||4/3/24 000000|GUADALAJARA, JALISCO|
58294|1|NCI|202400036005|FME|N-|2024010128|12/2/24 000000|PUEBLA, PUEBLA|
52306|2|3204482|||||30/4/24 000000|PUEBLA, PUE.|FOLIO 0204728 1
57333|1|3206898|||||29/4/24 000000|PUEBLA, PUE|FOLIO 0527049 1
56819|1|1774327|397 a 445|497|APENDICE|0137692 1|24/4/24 000000|PUEBLA, PUEBLA|ADJUDICACION POR REMATE JUDICIAL 
58339|1|756|190 V|3|5||24/4/24 000000|CHOLULA, PUEBLA|
58011|4|1773979|173 a 208|491|APENDICE||23/4/24 000000|CHOLULA, PUEBLA|0130413 1
58011|3|1773977|173 a 208|491|APENDICE||23/4/24 000000|CHOLULA, PUEBLA|0130413 1
58011|2|1773917|173 a 208|491|APENDICE||23/4/24 000000|CHOLULA, PUEBLA|0130413 1
58011|1|1773908|173 a 208|491|APENDICE||23/4/24 000000|CHOLULA, PUEBLA|0130413 1
57870|1|1704554||||0196065 1|16/10/23 000000|CHOLULA, PUEBLA|
58104|1|1770054|328 a 350|469|APENDICE||18/4/23 000000|CHOLULA, PUEBLA|0237966 1
55790|2|1635532||||18968|19/4/23 000000|CHOLULA, PUEBLA|POR LA APLICAION DE BIENES
55790|1|1635526||||18968|19/4/23 000000|CHOLULA, PUEBLA|POR LA PROTOCOLIZACION DE INVENTARIOS
57652|1|3201796|||||15/4/24 000000|PUEBLA, PUEBLA|FOLIO 0002023 1
58482|1|NCI|202400037414|FME|N|2019037965|15/2/24 000000|PUEBLA, PUEBLA|
58280|1|NCI|202400039032|FME|N|2024010732|15/2/24 000000|PUEBLA, PUEBLA|
58278|1|NCI|202400035670|FME|N|2023015719|12/2/24 000000|PUEBLA, PUEBLA|
58371|1|0|||||17/4/24 000000|PUEBLA, PUEBLA.|N-2021038603 NCI 202400101867
58382|1|NCI|202400076015|FME|N|2024020642|21/3/24 000000|PUEBLA, PUEBLA|
58389|1|NCI|202400076270||FME     N-|2024020742|21/3/24 000000|PUEBLA|
58362|1|NCI|202400059362|FME|N|2024016083|5/3/24 000000|PUEBLA, PUEBLA|
58213|1|NCI|202400015860|FME|N-|2024004611|23/1/24 000000|PUEBLA|POR LA CONSTITUCIN 
58249|1|NCI|202400022528|FME|N|2024006427|29/1/24 000000|PUEBLA, PUEBLA|
58480|1|NCI|202400008718|FME|N-|2017079499|16/1/24 000000|OAXACA|DE LA PROTOCOLIZACIN 
58314|1|NCI|202400048491|FME|N|2024013317|23/2/24 000000|PUEBLA, PUEBLA|
58479|1|NCI|202400008717|FME|N-   |2016003071|16/1/24 000000|OAXACA|POR LA PROTOCOLIZACIN 
58315|1|NCI|202400046892|FME|N|2024012948|22/2/24 000000|PUEBLA, PUEBLA|
58256|1|NCI|202400026289|FME|N|2019076750|31/1/24 000000|PUEBLA, PUEBLA|
58179|1|NCI|202400004868|FME|N|2024001404|10/1/24 000000|PUEBLA, PUEBLA|
57973|1|NCI|202300270632|FME|N-|2023082277|16/10/23 000000|PUEBLA, PUEBLA|
57694|1|1750221|494 a 517|207|APENDICE||26/2/24 000000|CHOLULA, PUEBLA|0182449 1
58195|1|NCI|202400011608||FME   N-|2024003284|18/1/04 000000|PUEBLA|POR LA CONSTITUCIN
58477|1|NCI|20240010149|FME|N|2021017727|16/4/24 000000|CIUDAD DE MEXICO|
58377|1|748|188 vta|3|5||10/4/24 000000|CHOLULA, PUEBLA|
57484|1|3188921|12 a 29|159|APENDICE||1/3/24 000000|PUEBLA, PUEBLA|0080300 1
58450|1|FME|2024026319||||12/4/24 000000|PUEBLA, PUEBLA|NCI 202400094526
47356|1|0|||||30/1/13 000000|PUEBLA, PUEBLA|FME 477012
50364|1|1764336|||||5/4/24 000000|CHOLULA, PUEBLA|FOLIO 0224949 1
57592|1|3181935|219 a 233|74|APENDICE|41229 1 |6/2/24 000000|PUEBLA|RECTIFICACION 
58428|1|NCI|202400846330||FME    N-|2023072319|27/3/24 000000|PUEBLA|
57693|1|3197609|||||1/4/24 000000|PUEBLA, PUE|FOLIO 0486249 1
58414|1|NCI|202400079908||FME   N-|2023100745|26/3/24 000000|PUEBLA|
58348|1|FME 31983|||||25/3/24 000000|PUEBLA, PUEBLA|NCI 202400079211
58237|1|1760922|1 a 26|353|APENDICE|49274 1|26/3/24 000000|SAN ANDRES CHOLULA, PUEBLA|CV CON RESERVA DE DOMINIO
56409|2|3152495||||55636|19/10/23 000000|PUEBLA, PUEBLA|POR LA COMPRA-VENTA
56409|1|3152494||||55636|19/10/23 000000|PUEBLA, PUEBLA|POR LA EXINCION DE USUFRUCTO
58194|1|NCI|202400008564||FME    N -|2024222443|15/1/24 000000|PUEBLA|
58223|1|3193314|||||15/3/24 000000|PUEBLA, PUEBLA|FOLIO 0437480 1
58063|1|3193490|||||22/3/24 000000|PUEBLA, PUEBLA|FOLIO 0005810 1
58410|1|0|||||25/3/24 000000|PUEBLA, PUEBLA|FME N-2024021550, NCI 202400078663
51883|7|1759041||||328397|25/3/24 000000|CHOLULA, PUEBLA|CALLE S/N SIN COL. SANTA CLARA/U-119112 
51883|6|1759041||||256827|25/3/24 000000|CHOLULA, PUEBLA|POR LA FUSION
51883|5|1759041||||180000|25/3/24 000000|CHOLULA, PUEBLA|POR LA FUSION DE PREDIOS
51883|4|1759037||||180000|25/3/24 000000|CHOLULA, PUEBLA|SUCESION TESTAMENTARIA NOTARIAL
51883|3|1759032||||180000|25/3/24 000000|CHOLULA, PUEBLA|POR PROTOCOLIZACION DE INVENTARIOS Y AVA
51883|2|1759023||||256827|25/3/24 000000|CHOLULA, PUEBLA|POR LA SUCESION INTESTAMENTARIA
51883|1|1759019||||256827|25/3/24 000000|CHOLULA, PUEBLA|POR LA PROTOCOLIZACION DE INVENTARIOS
58411|1|0|||||22/3/24 000000|PUEBLA, PUEBLA|FME N-2024021000, NCI 202400077364
58096|1|1101167|125 a 147|54-2023|COMERCIO||7/12/23 000000|PUEBLA, PUEBLA |
58403|1|NCI|202400077971||FME     N-|2018006300|22/3/24 000000|PUEBLA|
