Expediente|Numero|Inscripcion|Fojas|Tomo|Libro|Predio|Fecha|Lugar|Observaciones
52487|1|971312|500 a 572|122|5|0273132 1|13/2/18 000000|CHOLULA, PUEBLA|COMPRA-VENTA
52788|1|970768|1 a 25|118|5|0273123 1|13/2/18 000000|CHOLULA, PUEBLA|COMPRA-VENTA
53191|1|FME 53629|||||16/2/18 000000|PUEBLA|NCI 201800034822
53009|1|38291|||||14/11/17 000000|PUEBLA|NCI 201700220207
52635|1|971636|486 a 506|125|5|0256531 1|14/2/18 000000|PUEBLA|COMPRA-VENTA
53057|1|FME|N-2018008540||||1/2/18 000000|PUEBLA|NCI 201800022882
52341|3|969705||||0172495 1|12/2/18 000000||COMPRA.-VENTA
52341|2|969699||||0172495 1|12/2/18 000000||DOANCION
52341|1|969692||||0172495 1|12/2/18 000000|CHOLULA, PUEBLA|SUCESIN INTESTAMENTARIA
52665|1|969308||||0225831 1|8/2/18 000000|CHOLULA, PUEBLA|RECTIFICACIN DE FOLIO
49726|1|365690||||0229056 1|15/2/18 000000|PUEBLA|SUCESIN INTESTAMENTARIA
53189|1|FME 41485|||||15/2/18 000000|PUEBLA|NCI 201800025983
52116|1|FME 39291|||||15/2/18 000000|PUEBLA|NCI 201800024782
52742|1|FME 38291|||||15/2/18 000000|PUEBAL|NCI 201800024773
53090|1|FME 46311|||||15/2/18 000000|PUEBLA|NCI 201800025982
52183|1|2365180||||0041589 1|14/2/18 000000|PUEBLA|SUCESIN INTESTAMENTARIA
53063|5|2363238||||0487185 1|9/2/18 000000||CASA 4
53063|4|2363238||||0487184 1|9/2/18 000000||CASA 3
53063|3|2363238||||0487183 1|9/2/18 000000||CASA 2
53063|2|2363238||||0487182 1|9/2/18 000000||RGIMEN DE PROPIEDAD CASA 1
53063|1|2363205||||0094389 1 |9/2/18 000000|PUEBLA|DECLARACIN DE LO EDIFICADO
52960|1|2349526||||0086166 1|21/12/17 000000|PUEBLA|
52879|1|966534||||0165413 1|29/1/18 000000|CHOLULA, PUEBLA|
52639|8|2361349||||0487163 1|1/2/18 000000||CASA 7
52639|7|2361349||||0487162 1|1/2/18 000000||CASA 6
52639|6|2361349||||0487161 1|1/2/18 000000||CASA 5
52639|5|2361349||||0487160 1|1/2/18 000000||CASA 4
52639|4|2361349||||0487159 1|1/2/18 000000||CASA 3
52639|3|2361349||||0487158 1|1/2/18 000000||CASA 2
52639|2|2361349||||0487157 1|1/2/18 000000||RGIMEN DE PROPIEDAD CASA 1
52639|1|2361341||||0126138 1|1/2/18 000000|PUEBLA|DECLARACIN DE LO EDIFICADO
52708|1|FME|2017088811||||7/11/17 000000|PUEBLA, PUEBLA|NCI 201700152162
51914|3|2336751||||0447630 1|29/11/17 000000||HIPOTECA
51914|2|2336749||||0447630 1|29/11/17 000000||HIPOTECA
51914|1|2335539||||0447630 1|29/11/17 000000|PUEBLA|COMPRA-VENTA
52212|4|945656||||0183895 1|22/11/17 000000||HIPOTECA
52212|3|945648||||0183895 1|22/11/17 000000||HIPOTECA
52212|2|945638||||0183895 1|22/11/17 000000||COMPRA-VENTA
52212|1|945630||||0183895 1|22/11/17 000000|CHOLULA, PUEBLA|DECLARACION DE LO EDIFICADO
51512|2|2360859||||0291078 1|31/1/18 000000|PUEBLA|COMPRA-VENTA
51512|1|2360850||||0291078 1|31/1/18 000000|PUEBLA|DECLARACIN DE LO EDIFICADO
52365|1|2360837||||0120150 1|31/1/18 000000|PUEBLA|
52957|1|FME|N- 2018006417||||25/1/18 000000|PUEBLA|NCI 201800016554
52613|2|2359320||||0130566 1|26/1/18 000000|PUEBLA|HIPOTECA
52613|1|2359313||||0130566 1 |26/1/18 000000|PUEBLA|COMPRA-VENTA
52621|1|955961||||0218693 1|20/12/17 000000|CHOLULA, PUEBLA|
53049|1|165|43|2|5||22/1/18 000000|CHOLULA, PUEBLA|
50470|1|191|55|181|1||8/12/17 000000|ATLIXCO, PUEBLA|
52369|3|2336171||||0194513 2|28/11/17 000000||HIPOTECA
52369|2|2336164||||0194513 2|28/11/17 000000||COMPRA-VENTA
52369|1|2336159||||0194513 2|28/11/17 000000|PUEBLA|CANCELACIN DE HIPOTECA
52344|2|407|184|51|II||5/12/17 000000||
52344|1|415|122 VTA.|171|1||5/12/17 000000|TEPEACA, PUEBLA|
53002|1|166|43 V|2|5||24/1/18 000000|CHOLULA, PUEBLA|
50729|1|2356130||||0120150 1|18/1/18 000000|PUEBLA|
51927|3|963915||||256924|19/1/18 000000|CHOLULA, PUEBLA|DONACIN
51927|2|963910||||256924|19/1/18 000000|CHOLULA, PUEBLA|POR LA SUCESIN TESTAMENTARIA
51927|1|963899||||256924|19/1/18 000000|CHOLULA, PUEBLA|PROTOCOLIZACIN DE INEVNTARIOS Y AVALUOS
52989|1|FME|N- 2018002413||||15/1/18 000000|PUEBLA|NCI 201800006156
48433|1|2354925||||0054105 1|15/1/18 000000|PUEBLA|
52750|1|FME|2018001647||||11/1/18 000000|PUEBLA|NCI 201800004210
52928|1|FME|2018001648||||11/1/18 000000|PUEBLA|NCI 201800004225
52993|1|FME 19085|||||11/1/18 000000|PUEBLA|NCI 201800004199
52561|1|586|200|II|11||21/12/17 000000|TLATAUQUITEPEC, PUEBLA|
52724|1|2347760||||0414587 1 |10/1/18 000000|PUEBLA|
51316|2|958789||||0241185 1|3/1/18 000000||COMPRA-VENTA
51316|1|958787||||0241185 1|3/1/18 000000|CHOLULA, PUEBLA|CANCELACIN DE HIPOTECA
52629|4|956269||||0272370 1|21/12/17 000000||DONACIN CASA 2
52629|3|956263||||0272368 1|21/12/17 000000||DONACIN CASA 1
52629|2|956245||||0272367 1|21/12/17 000000||DONACIN 
52629|1|956239||||0208911 1|21/12/17 000000|CHOLULA, PUEBLA|CONSTITUCIN DE SERVIDUMBRE
52789|1|956182||||0272363 1|20/12/17 000000|CHOLULA, PUEBLA|
52660|1|2351065||||0477812 1|23/12/17 000000|PUEBLA|
53071|1|FME 51441|||||19/12/17 000000||NCI 201700252218
52730|1|112289||||0034164 1|20/12/17 000000|HUEJOTZINGO, PUEBLA|
52274|1|1095067|||||22/12/17 000000|PUEBLA|
51171|2|954691||||0080140 1|19/12/17 000000||COMPRA-VENTA
51171|1|954679||||0080140 1|19/12/17 000000|CHOLULA, PUEBLA|CANCELACIN DE HIPOTECA
51169|1|954602||||0211373 1|20/12/17 000000|CHOLULA, PUEBLA|
51170|1|954649||||0211375 1|20/12/17 000000|CHOLULA, PUEBLA|
50932|1|954784||||0059910 1|20/12/17 000000|CHOLULA, PUEBLA|
53108|1|1095035|55-72|106-2017|||19/12/17 000000|PUEBLA|
53109|1|1095035|55-72|106-2017|||19/12/17 000000|PUEBLA|
52845|1|FME|N.2017101449||||15/12/17 000000|PUEBLA|NCI 201700249358
52544|5|111786|||||18/12/17 000000|HUEJOTZINGO, PUE|FOLIO 33048 DONACION
52544|4|111781|||||18/12/17 000000|HUEJOTZINGO, PUE|FOLIO 33048 SUCESION
52544|3|111780|||||18/12/17 000000|HUEJOTZINGO, PUE|FOLIO 33043 DONACION
52544|2|111779|||||18/12/17 000000|HUEJOTZINGO|FOLIO 33043 SUCESION
52544|1|111776|||||18/12/17 000000|HUEJOTZINGO, PUE|FOLIO 33043 ERECCION
53104|1|1095029|||||18/12/17 000000|PUEBLA|
-46326|2|1095029|456 A 472|105-107|||18/12/17 000000|PUEBLA|
52917|2|2345182||||0398260 1|13/12/17 000000|PUEBLA|PODER
52917|1|2345181||||0370337 1 |13/12/17 000000||PODER
52864|1|946631||||0041721 1|4/12/17 000000|CHOLULA, PUEBLA|
51317|2|946681||||0241191 1 |4/12/17 000000|CHOLULA, PUEBLA|COMPRA-VENTA
51317|1|946677||||0241191 1 |4/12/17 000000|CHOLULA, PUEBLA|CANCELACIN DE HIPOTECA
50931|2|946554||||0134186 1 |30/11/17 000000|CHOLULA, PUEBLA|COMPRA-VENTA
50931|1|946548||||0134186 1 |30/11/17 000000|CHOLULA, PUEBLA|DECLARACIN DE ERECCIN
52539|2|2342588||||0479205 1|7/12/17 000000|PUEBLA|TRANSMISIN DE PROPIEDAD
52539|1|2342586||||04792051 |7/12/17 000000|PUEBLA|CANCELACIN DE HIPOTECA
52747|1|1687705|231-244|2-2017|COMERCIO|MAT25-2016|12/10/17 000000|TECALI DE HERRERA|
52474|1|0020||VOL. 0043|||23/11/17 000000|TLAXCALA|FOLIO REAL ELEC. TL34-N7X9-AR4Y-2F8M
52475|1|0205||VOL. 0051|||29/11/17 000000|TLAXCALA|FOLIO REAL ELEC. TL27-M9K4-FD3W-4C45
52930|1|0005||VOL. 0020||02|22/11/17 000000|TLAXCALA|FOLIO REAL ELEC. TL48-A7Z9-RX3F-9K2K
52526|1|1105||VOL. 0099||01|27/11/17 000000|TLAXCALA|FOLIO REAL ELEC. TL78-X9Z3-P42N-2C7J
51447|1|0077||VOL. 0050||01|1/12/17 000000|TLAXCALA|FOLIO REAL ELEC.  TL67-N8X9-JQ5Y-2M4Z
51786|2|942074||||0251200 1|21/11/17 000000||HIPOTECA
51786|1|942061||||0251200 1|21/11/17 000000||COMPRA-VENTA
52954|1|561||XXIII|SECC. 2||28/11/17 000000|TUXTEPEC, OAXACA|
49164|1|520|133|22|2||1/11/17 000000|TECAMACHALCO, PUE|EL CLIENTE LA LLEV AL REGISTRO
52754|2|233069||||0145215 1 |23/11/17 000000||HIPOTECA
52754|1|233063||||0145215 1|23/11/17 000000||COMPRA-VENTA
52860|1|FME|N-2016014392||||9/11/17 000000|CHOLULA, PUEBLA|
52975|1|131|34-V|2|5||9/11/17 000000|CHOLULA, PUEBLA|
52811|2|938269||||0066099 1|9/11/17 000000||DONACIN
52811|1|938255||||0066099 1|9/11/17 000000|CHOLULA, PUEBLA|DECLARACIN DE ERECCIN
49811|1|900468||||0103620 1|15/11/17 000000|CHOLULA, PUEBLA|COMPRA-VENTA
52324|1|938324||||0049176 1|9/11/17 000000|CHOLULA, PUEBLA|COMPRA-VENTA
52018|2|938542||||0251827 1|10/11/17 000000||SUCESIN TESTAMENTARIA
52018|1|938529||||0251827 1|10/11/17 000000|CHOLULA, PUEBLA.|INVENTARIOS Y AVALUOS
52308|1|FME 54744|||||14/11/17 000000|PUEBLA|NCI 201700219105
49342|1|2329087||||0216411 1|14/11/17 000000|PUEBLA|
52790|1|2327654||||0225032 1|9/11/17 000000|PUEBLA|COMPRA-VENTA
50860|2|2328812||||0096474 1|13/11/17 000000|PUEBLA|COMPRA-VENTA
50860|1|2328803||||0096474 1|13/11/17 000000|PUEBLA|EXTINCIN DE USUFRUCTO
52950|1|NCI|||||25/10/17 000000|PUEBLA|NCI 201700206657
51992|2|2324676||||0347906 1|3/11/17 000000|PUEBLA|HIPOTECA
51992|1|2324667||||0347906 1|3/11/17 000000|PUEBLA|COMPRA-VENTA
52075|1|1094883|||||31/10/17 000000||MAT.1016/2016
52822|1|2313528||||0194070 1|6/10/17 000000|PUEBLA|COMPRA-VENTA
52924|1|FME 46355|||||27/10/17 000000|PUEBLA|NCI 201700208947
52871|1|FME|N-2017085067||||20/10/17 000000|CHOLULA, PUEBLA|NCI 201700203234
52816|1|FME|N- 2017085085||||27/10/17 000000|PUEBLA|NCI 201700208903
50351|2|933170||||0005798 1|25/10/17 000000|CHOLULA, PUEBLA|HIPOTECA
50351|1|933150||||0005798 1|25/10/17 000000|CHOLULA, PUEBLA|COMPRA-VENTA
52923|1|FME 46355|||||27/10/17 000000|PUEBLA|NCI 201700208936
50361|1|FME 36345|||||27/10/17 000000|PUEBLA|NCI 201700208920
52817|1|FME|N-2017085081||||27/10/17 000000|PUEBLA|NCI 201700208895
52636|2|2321864||||0020804 1|26/10/17 000000||COMPRA-VENTA
52636|1|2321858||||0020804 1|26/10/17 000000|PUEBLA|EXTINCIN DE USUFRUCTO
52390|1|1098840|||||20/10/17 000000|PUEBLA|
52336|1|2319700||||0263010 1|20/10/17 000000|PUEBLA|COMPRA.-VENTA
50357|1|930837||||0049112 1|19/10/17 000000|CHOLULA, PUEBLA|COMPRA-VENTA
50356|1|930852||||0049111 1|19/10/17 000000|CHOLULA,, PUEBLA|COMPRA-VENTA
52389|1|FME 55527|||||20/10/17 000000|PUEBLA|NCI 201700203000
52815|1|FME|N-2017085081||||20/10/17 000000|PUEBLA|NCI 201700202983
52814|1|FME|N-2017085085||||20/10/17 000000|PUEBLA|NCI 201700202996
52556|1|FME|N-2017085093||||20/10/17 000000|PUEBLA|NCI 201700203006
52597|2|2318811||||0134002 1|19/10/17 000000||SUCESIN INTESTAMENTARIA
52597|1|2318800||||0134002 1|19/10/17 000000|PUEBLA|INVENTARIOS Y AVALUOS
52686|1|1094830|||||13/10/17 000000|PUEBLA|
52886|1|2317722||||0012016 1|17/10/17 000000|PUEBLA|EXTINCIN DE USUFRUCTO
52819|1|FME 38291|||||17/10/17 000000|PUEBLA|NCI 201700199064
49115|5|928908||||0040117 1|16/10/17 000000||HIPOTECA
49115|4|928902||||0040117 1|16/10/17 000000||EXTENCIN PARCIAL DE FIDEICOMISO
49115|3|928890||||0040117 1|16/10/17 000000||TRANSMISIN DE PROPIEDAD
49115|2|928887||||0040117 1|16/10/17 000000||CANCE. DE CONVENIO MODIFICATORIO
49115|1|928884||||0040117 1|16/10/17 000000|CHOLULA, PUEBLA|CANCE. DE CONVENIO MODIFICATORIO
48846|3|928864||||0041394 1|16/10/17 000000||HIPOTECA
48846|2|928856||||0041394 1|16/10/17 000000||COMPRA-VENTA
48846|1|908837||||0041394 1|16/10/17 000000|CHOLULA, PUEBLA|DECLARACIN DE LO EDIFICADO
50333|1|927475||||0174257 1|11/10/17 000000|CHOLULA, PUEBLA|COMPRA.-VENTA
52851|1|FME 38291|||||10/10/17 000000|PUEBLA|NCI 201700194306
52455|1|FME 37087|||||10/10/17 000000|PUEBLA|NCI 201700194292
52453|1|FME 38291|||||10/10/17 000000|PUEBLA|NCI 201700194278
52857|1|FME|N- 2016010866||||10/10/17 000000|PUEBLA|NCI 201700194325
51734|2|2316605||||0473230 1|13/10/17 000000|PUEBLA|HIPOTECA
51734|1|2316598||||0473230 1|13/10/17 000000|PUEBLA|COMPRA-VENTA
50873|1|925934||||0036997 1 |6/10/17 000000|CHOLULA,. PUEBLA|COMPRA-VENTA
48097|3|925804||||0044269 1|5/10/17 000000||HIPOTECA
48097|2|925798||||0044269 1|5/10/17 000000||COMPRA-VENTA
48097|1|925779||||0044269 1|5/10/17 000000|CHOLULA, PUEBLA|CANCELACIN DE HIPOTECA
52407|1|925770||||0091479 1 |6/10/17 000000|CHOLULA, PUEBLA|
52853|1|FME 36345|||||10/10/17 000000|PUEBLA|NCI 201700194318
52850|1|FME 38291|||||10/10/17 000000|PUEBLA|NCI 201700194299
52452|1|FME 38291|||||10/10/17 000000|PUEBLA|NCI 201700194271
52451|1|FME 39291|||||10/10/17 000000|PUEBLA|NCI 201700194253
52454|1|FME 36345|||||10/10/17 000000|PUEBLA|NCI 201700194283
52642|1|925994||||0062634 1|7/10/17 000000|PUEBLA|DECLARACIN DE ERECCIN
52776|1|2313520||||0385366 1|6/10/17 000000||
52702|1|2313438||||0089066 1|5/10/17 000000||
52891|1|FME|N-2017080345||||5/10/17 000000|PUEBLA|NCI 201700191587
52751|1|FME 53799|||||18/9/17 000000|PUEBLA|NCI 20170017904
52762|2|2309418||||0188500 1|27/9/17 000000|PUEBLA|DONACIN
52762|1|2309414||||0188500 1|27/9/17 000000|PUEBLA|SUCESIN INTESTAMENTARIA
50814|2|925345||||0094916 1|5/10/17 000000||COMPRA-VENTA
50814|1|925330||||0094916 1|5/10/17 000000||DECLARACIN DE ERECCIN
52767|1|922042||||0269330 1|28/9/17 000000|CHOLULA, PUEBLA|COMPRA-VENTA
51980|1|FME |N-2016006998||||12/9/16 000000|PUEBLA|NCI-201600053734
51982|1|FME|N-2016011148||||12/9/16 000000|PUEBLA|NCI-201600053730
51981|1|FME|N-2016006784||||12/9/16 000000|PUEBLA|NCI-201600053733
52670|1|6166|||||28/8/17 000000|MEXICO, D.F.|
51016|1|86220||||0033649 1|12/6/17 000000|HUEJOTZINGO, PUEBLA|COMPRA-VENTA
52745|1|918408||||0059541 1|14/9/17 000000|CHOLULA, PUEBLA|COMPRA-VENTA
52799|1|342920||||0145522 1|19/9/17 000000|TECALI DE HERRERA, PUE.|CONSTITUCIN DE FIDEICOMISO
52805|1|377|101|1|5||12/9/17 000000|TEPEACA, PUEBLA|
52602|2|2294160||||0194070  1|15/8/17 000000|PUEBLA|COMPRA - VENTA
52602|1|2294159||||0194070  1|15/8/17 000000|PUEBLA|CANCELACIN DE HIPOTECA
52328|1|FME|N-2017073487||||8/9/17 000000|PUEBLA|NCI 201700173928
52672|1|914992||||0251013 1|5/9/17 000000|CHOLULA, PUEBLA|DONACIN
52826|1|915469||||0258825 1|6/9/17 000000|CHOLULA, PUEBLA|CANCELACIN DE HIPOTECA
52718|1|2304466||||0354012  1|11/9/17 000000|PUEBLA|
50720|1|2303539||||M0000600 2|11/9/17 000000|PUEBLA|COMPRA-VENTA
50268|1|2302586||||0106103 1|11/9/17 000000|PUEBLA|DONACIN
52587|1|2304193||||0058062 1|8/9/17 000000|PUEBLA|DONACIN
7866|2|2304214||||0118567 1|8/9/17 000000|PUEBLA|DONACIN
7866|1|2304200||||0118567 1|8/9/17 000000|PUEBLA|DECLARACIN DE LO EDIFICADO
52323|1|914975||||0123565 1|5/9/17 000000|CHOLULA, PUEBLA|COMPRA-VENTA
52605|1|2303712||||0457743 1|7/9/17 000000|PUEBLA|COMRPA-VENTA
52770|1|FME|N-201707150||||31/8/17 000000|CHOLULA, PUEBLA|NCI 201700163878
51397|1|912805||||0041598 1|30/8/17 000000|CHOLULA, PUEBLA|COMPRA-VENTA
52604|1|105|28|2|5||25/8/17 000000||
51955|4|2300427||||0326250  1|30/8/17 000000|PUEBLA|HIPOTECA
51955|3|2300425||||0326250  1|30/8/17 000000|PUEBLA|COMPRA - VENTA
51955|2|2300424||||0326250  1|30/8/17 000000|PUEBLA|CANCELACIN DE HIPOTECA 2
51955|1|2300423||||0326250  1|30/8/17 000000|PUEBLA|CANCELACIN HIPOTECA 1
50794|4|911607||||0039681  1|25/9/17 000000|CHOLULA, PUEBLA|HIPOTECA
50794|3|911597||||0039681  1|25/8/17 000000|CHOLULA, PUEBLA|COMPRA - VENTA
50794|2|911594||||0039681  1|25/8/17 000000|CHOLULA, PUEBLA|DECLARACIN DE ERECCIN 
50794|1|911589||||0039681  1|25/8/17 000000|CHOLULA, PUEBLA|CANCELOACIN DE HIPOTECA
52502|1|97|||||16/8/17 000000|CHOLULA, PUEBLA|
52516|1|905148||||0049766  1|7/8/17 000000|PUEBLA|
52676|1|908800||||0259467 1|17/8/17 000000|CHOLULA, PUEBLA|COMPRA-VENTA
52466|1|FME|N-20166043607||||8/8/17 000000|PUEBLA|NCI 201700149996
51161|1|2293900||||0336169  1|15/8/17 000000|PUEBLA|
50360|2|194|50|51|II||4/8/17 000000|TEPEACA, PUEBLA|HIPOTECA
50360|1|124|32|179|I||4/8/17 000000|TEPEACA, PUEBLA|COMRA - VENTA
52461|1|2295246||||0119322  1|17/8/17 000000|PUEBLA|
52620|1|1094599|||||4/8/17 000000|PUEBLA|
48519|1|2289330||||0026828 1 |11/8/17 000000|PUEBLA|SUCESIN TESTAMENTARIA 
51099|1|2293939||||0337325 1|15/8/17 000000|PUEBLA|COMPRA-VENTA
-46326|1|2293900||||0336169 1 |15/8/17 000000|PUEBLA|COMPRA-VENTA
52535|1|2292585||||0212036 1|10/8/17 000000|PUEBLA|COMPRA-VENTA
52445|2|0|||||10/8/17 000000||
52445|1|2292288||||0060801 1 |10/8/17 000000|PUEBLA|COMPRA-VENTA
52376|1|FME 39291|||||11/8/17 000000|PUEBLA|NCI 201700153895
51561|1|825671||||0049107  1|16/12/17 000000|CHOLULA, PUEBLA|
48640|1|2291202||||434011|8/8/17 000000|PUEBLA|
51526|1|561515-1|||||10/8/16 000000|MEXICO, D.F.|
51506|1|FRE|||||19/1/17 000000|TLAXCALA, PUEBLA|FRE TL65-M1R7-FG9B-3X8V
52682|1|FME|N-2017060891||||31/7/17 000000|HUEJOTZINGO, PUEBLA|NCI 201700141735
50660|4|2290040||||484513|8/8/17 000000|PUEBLA|SIN CALLE, AGRICOLA VILLA ALBERTINA, PU
50660|3|2290040||||484512|4/8/17 000000|PUEBLA|SIN CALLE, AGRICOLA VILLA ALBERTINA, PU
50660|2|2290060||||484511|4/8/17 000000|PUEBLA|POR LA COMPRA-VENTA
50660|1|2290040||||122530|4/8/17 000000|PUEBLA|POR LA SUBDIVISION
52549|1|900899||||0232772 1|26/7/17 000000|CHOLULA, PUEBLA|CANCELACIN DE HIPOTECA
51528|2|901684||||0241047 1|27/7/17 000000|CHOLULA, PUEBLA|COMPRA-VENTA
51528|1|901672||||0241047 1|27/7/17 000000|CHOLULA, PUEBLA|CANCELACIN DE HIPOTECA
52448|2|901762||||0109764 1|27/7/17 000000|CHOLULA, PUEBLA|COMPRA-VENTA
52448|1|901749||||0109764 1|27/7/17 000000|CHOLULA, PUEBLA|DECLARACIN DE LO EDIFICADO
52313|2|2289028||||0093869 1|2/8/17 000000|PUEBLA|HIPOTECA
52313|1|2288998||||0093869 1|2/8/17 000000|PUEBLA|CANCELACIN DE HIPOTECA
52312|2|2287148||||0085087 1|27/7/17 000000|PUEBLA|HIPOTECA
52312|1|2287146||||0085087 1|27/7/17 000000|PUEBLA|CANCELACIN DE HIPOTECA
50109|3|2003926||||470524|2/10/15 000000|PUEBLA|CASA 8-2 INT 8-2
52367|1|FME 53799|||||25/7/17 000000|PUEBLA|NCI 201700141538
52710|1|FME|N-2017059820||||25/7/17 000000|PUEBLA|NCI 201700141540
52681|1|2286058||||0441039 1 |25/7/17 000000|PUEBLA|PODER
51640|2|899113||||0059848  1|20/7/17 000000|CHOLULA, PUEBLA|HIPOTECA
51640|1|899096||||0059848  1|20/7/17 000000|CHOLULA, PUEBLA |COMPRA - VENTA 
51069|2|899078||||0144012  1|20/7/17 000000|CHOLULA, PUEBLA|HIPOTECA
51069|1|899069||||0144012  1|20/7/17 000000|CHOLULA, PUEBLA|COMPRA - VENTA
51961|3|2284569||||0219028  1|21/7/17 000000|PUEBLA|HIPOTECA
51961|2|2284568||||0219028  1|21/7/17 000000|PUEBLA|COMPRA - VENTA
51961|1|2284565||||0219028  1|21/7/17 000000|PUEBLA|CANCELACIN DE HIPOTECA
52250|2|2284466||||0314919  1|21/7/17 000000|PUEBLA|HIPOTECA
52250|1|2284462||||0314919  1|21/7/17 000000|PUEBLA|COMPRA - VENTA 
52022|1|2265802||||0272483 1|8/6/17 000000|PUEBLA|ADJUDICACIN POR REMATE
51869|1|2248241||||0405243 1|28/4/17 000000|PUEBLA|COMPRA-VENTA
52444|1|1094541|388-404|82-2017|||14/7/17 000000|PUEBLA|
52610|1|FME|N-2017054785||||7/7/17 000000|CHOLULA, PUEBLA|NCI 201700127086
51174|1|F R E|||||13/7/17 000000|XICOTENCATL, TLAXCALA|FOLIO REAL TL67-N8X9-JQ5Y-2M4Z
51974|2|2280388||||0318622 1|11/7/17 000000|PUEBLA|COMPRA-VENTA
51974|1|2280379||||0318622 1|11/7/17 000000|PUEBLA|DECLARACIN DE LO EDIFICADO
50287|1|2280028||||0090359 1 |11/7/17 000000|PUEBLA|COMPRA-VENTA
52331|1|FME|N-2017053212||||11/7/17 000000|PUEBLA|NCI 201700131253
52442|1|FME|N-2017043853||||2/6/17 000000|PUEBLA|NCI 201700101908
52399|5|2271236||||0001862  1|22/6/17 000000|PUEBLA|CONSITUCIN DE FIDEICOMISO
52638|1|1094503|||||5/6/17 000000|PUEBLA|
52400|1|2278760||||0282015  1|6/7/17 000000|CHOLULA, PUEBLA|
52608|1|FME|N-2016009416||||26/6/17 000000|CHOLULA, PUEBLA|NCI-201700120463
52651|1|FME|N- 2017050872||||26/6/17 000000|CHOLULA, PUEBLA|NCI 201700120451
51972|5|88527||||34165|26/6/17 000000|HUEJOTZINGO, PUEBLA|TULIPANES 21
51972|4|88527||||34164|26/6/17 000000|HUEJOTZINGO, PUEBLA|TULIPANES 19
51972|3|88527||||34163|26/6/17 000000|HUEJOTZINGO, PUEBLA|TULIPANES 17
51066|2|89883||||0034428  1|30/6/17 000000|HUEJOTZINGO, PUEBLA|SIN CALLE, SIN COLONIA EL MORAL  U-56590
51066|1|89883||||0000826 1|30/6/17 000000|HUEJOTZINGO, PUEBLA|COMPRA-VENTA
52218|1|192|50|179|1||22/6/17 000000|ATLIXCO, PUEBLA|COMPRA-VENTA
52396|1|2276878||||0191052 1 |3/7/17 000000|PUEBLA|COMPRA-VENTA
52463|1|2276794||||0027999 1|3/7/17 000000|PUEBLA|COMPRA-VENTA
52581|1|FME|N-2017050892||||26/6/17 000000|PUEBLA|NCI201700119821
51494|1|2273812||||0188470 1|26/6/17 000000|PUEBLA|COMPRA-VENTA
51972|2|88537||||34162|26/6/17 000000|HUEJOTZINGO, PUEBLA|TULIPANES 15
51972|1|88527||||0000783 1 |26/6/17 000000|HUEJOTZINGO, PUEBLA|LOTIFICACIN
52553|2|2272915||||0150770  1|23/6/17 000000|PUEBLA|HIPOTECA
52553|1|2272904||||0150770  1|23/6/17 000000|PUEBLA|COMPRA - VENTA 
52062|1|887948||||0049224  1|21/6/17 000000|CHOLULA, PUEBLA|
52609|1|FME 49254|||||23/6/17 000000|PUEBLA|NCI 201700118917
52607|1|FME|N-2016006308||||23/6/17 000000|PUEBLA|NCI 201700118932
52302|1|2271369||||0468871  1|21/6/17 000000|PUEBLA|
52287|1|56|15 VUELTA|8|5||15/6/17 000000|CHOLULA, PUEBLA|
52436|2|886660||||0082702  1|16/6/17 000000|CHOLULA, PUEBLA|COMPRA - VENTA
52436|1|886658||||0082702  1|16/6/17 000000|CHOLULA, PUEBLA|DECLARACIN DE ERECCIN 
52570|1|54|15|2|5||14/6/17 000000|CHOLULA, PUEBLA|
52399|4|2271769||||0001862  1|22/6/17 000000|PUEBLA|CONVENIO DE ENAJENACIN EXTRAJUDICIAL
52399|3|2271223||||0001862  1|22/6/17 000000|PUEBLA|HIPOTECA
52399|2|2271203||||0001862  1|22/6/17 000000|PUEBLA|SUCECIN TESTAMENTARIA 
52399|1|2268094||||0001862  1|22/6/17 000000|PUEBLA|PROTOCOLIZACIN DE INVENTARIOS Y AVALUOS
52306|1|2272878||||0204728  1|23/6/17 000000|PUEBLA|
51017|2|86216||||0033648  1|12/6/17 000000|HUEJOTZINGO, PUEBLA|SAN FRANCISCO TEPEYAC, U-56588
51017|1|86216||||0033645 1|12/6/17 000000|HUEJOTZINGO, PUEBLA|DONACIN
52096|1|2268006||||0092987  1|13/6/17 000000|PUEBLA|
50467|2|2269142||||0336584  1|15/6/17 000000|PUEBLA|HIPOTECA
50467|1|2269128||||0336584  1|15/6/17 000000|PUEBLA|COMPRA - VENTA
52401|1|2268950||||0265188 1|15/6/17 000000|PUEBLA|HIPOTECA
52630|1|FME 53629|||||14/6/17 000000|PUEBLA|NCI 201700111416
52246|1|1094426|||||14/6/17 000000|PUEBLA|
52172|1|2267680||||0075619 1|13/6/17 000000|PUEBLA|CANCELACIN DE INSCRIPCIN
52066|1|883628||||0049230 1|9/6/17 000000|CHOLULA, PUEBLA|DONACIN
52065|2|0|||||9/6/17 000000||
52065|1|883781||||0049229 1|9/6/17 000000|CHOLULA, PUEBLA|DONACIN
52064|1|883675||||0049228 1|9/6/17 000000|CHOLULA, PUEBLA|DONACIN
52063|1|883642||||0049225 1|9/6/17 000000|CHOLULA, PUEBLA|DONACIN
52061|1|883598||||0049223 1 |9/6/17 000000|CHOLULA, PUEBLA|DONACIN
